Site_code,LATITUDE,LONGITUDE,GPS_ELEV
1,40.0554977,-105.5935123,3565.484
2,40.0553968,-105.5928959,3555.614
3,40.0553183,-105.5923075,3547.762
4,40.0551863,-105.5917597,3541.242
5,40.055083,-105.5912011,3535.568
6,40.0549849,-105.5907045,3531.087
7,40.0548565,-105.5901358,3528.356
8,40.0547156,-105.5894924,3528.187
9,40.0546036,-105.5889946,3527.382
10,40.0545163,-105.5883726,3533.715
101,40.0543985,-105.5878025,3539.433
11,40.0559396,-105.5934166,3569.739
12,40.0558011,-105.5927482,3558.653
13,40.0557319,-105.5921904,3548.872
14,40.0556441,-105.5916848,3542.575
15,40.0555193,-105.5910602,3537.023
16,40.0553657,-105.5905426,3532.149
17,40.0552987,-105.5899372,3528.725
18,40.0551819,-105.5894271,3530.359
19,40.0550571,-105.588808,3531.503
20,40.0549543,-105.5882291,3538.602
201,40.0547821,-105.5876726,3544.369
21,40.0563378,-105.5931628,3570.988
22,40.0562742,-105.5926594,3561.683
23,40.0561658,-105.5920319,3549.991
24,40.0560121,-105.5914465,3541.385
25,40.0559041,-105.5909222,3536.989
26,40.0558185,-105.5903499,3532.565
27,40.0557358,-105.5898482,3529.794
28,40.0556187,-105.5892337,3530.133
29,40.0554681,-105.5886781,3532.618
30,40.0553929,-105.5880878,3536.463
301,40.055316,-105.5875896,3543.099
31,40.0568372,-105.5930714,3571.115
32,40.0566996,-105.5925361,3561.285
33,40.0566161,-105.5918652,3550.573
34,40.0565124,-105.591334,3540.934
35,40.056359,-105.590833,3535.165
36,40.0562519,-105.590211,3531.278
37,40.0561592,-105.5896516,3528.65
38,40.0560407,-105.5891241,3529.412
39,40.055936,-105.5885232,3530.201
40,40.0558234,-105.5879342,3533.429
401,40.0556737,-105.5873637,3540.388
41,40.057263,-105.5928422,3566.349
42,40.057114,-105.5923807,3557.976
43,40.0570623,-105.591817,3548.2
44,40.056906,-105.5912325,3539.18
45,40.0567868,-105.590602,3532.384
46,40.0567213,-105.5900562,3526.291
47,40.0565989,-105.5895581,3524.238
48,40.0564961,-105.5889358,3526.415
49,40.0563694,-105.5883811,3526.632
50,40.0562191,-105.5877896,3530.685
501,40.0561006,-105.587294,3536.414
51,40.0576592,-105.5928135,3561.898
52,40.0575459,-105.5922299,3553.021
53,40.0574272,-105.5915852,3542.168
54,40.0573764,-105.5910912,3534.801
55,40.057203,-105.5905045,3528.089
56,40.057156,-105.5898954,3521.53
57,40.0570089,-105.5893587,3521.368
58,40.0569246,-105.58881,3521.654
59,40.0567863,-105.5882213,3524.259
60,40.0566823,-105.5876529,3526.597
601,40.0565799,-105.5870815,3534.113
61,40.0581397,-105.5925502,3551.76
62,40.0580265,-105.5921017,3545.044
63,40.0578688,-105.5915301,3537.267
64,40.0578222,-105.5908753,3528.991
65,40.0576992,-105.5904103,3521.916
66,40.0575967,-105.5897547,3515.337
67,40.0574817,-105.5892177,3516.542
68,40.057357,-105.5886564,3516.923
69,40.057254,-105.5880819,3518.987
70,40.0571216,-105.5875027,3521.854
701,40.057018,-105.5869364,3529.63
71,40.0585644,-105.5925044,3543.414
72,40.0584009,-105.5918275,3535.939
73,40.0582885,-105.5913673,3528.616
74,40.0581931,-105.5907539,3520.112
75,40.0580666,-105.5901681,3515.389
76,40.057939,-105.5897005,3510.757
77,40.0579254,-105.5890487,3508.174
78,40.0577508,-105.5884734,3512.625
79,40.0576812,-105.5879297,3512.421
80,40.0575492,-105.5873398,3514.446
801,40.0574014,-105.5867879,3522.352
Saddle Sensor Array Node 1,40.05568,-105.5935,3554.22
Saddle Sensor Array Node 10,40.05436708,-105.5882941,
Saddle Sensor Array Node 11,40.05264413,-105.5922164,
Saddle Sensor Array Node 12,40.05263577,-105.5911333,
Saddle Sensor Array Node 13,40.05263041,-105.5904561,
Saddle Sensor Array Node 14,40.05301765,-105.5901212,
Saddle Sensor Array Node 15,40.05200914,-105.5922958,
